chr,strand,start,end,Transcript,Splicing_type,exon_pair_len
chr8,-,133726240,133771161,NM_001382402.1,LS,44921
chr8,-,133726240,133759360,NM_001382402.1,LS,33120
chr1,+,32768221,32797843,NM_004964.3,LS,29622
chr1,+,32796178,32796509,NM_004964.3,LS,331
chr1,+,32768221,32798350,NM_004964.3,LS,30129
chr1,+,32768221,32796509,NM_004964.3,LS,28288
chr1,+,32768221,32790154,NM_004964.3,LS,21933
chr1,+,32768221,32797183,NM_004964.3,LS,28962
chr1,+,32782265,32796287,NM_004964.3,LS,14022
chr1,+,32792539,32797183,NM_004964.3,LS,4644
chr1,+,32790079,32797843,NM_004964.3,LS,7764
chr19,+,49993106,49993554,NM_012423.4,LS,448
chr19,+,49994035,49994804,NM_012423.4,LS,769
chr19,+,49994296,49994804,NM_012423.4,LS,508
chr1,+,146751698,146765406,NM_001348451.2,LS,13708
chr13,-,30784452,30805609,NM_032116.5,LS,21157
chrX,-,153282399,153285049,NM_001569.4,LS,2650
chrX,-,153283456,153283806,NM_001569.4,LS,350
chrX,-,153277979,153285049,NM_001569.4,LS,7070
chrX,-,153277979,153283806,NM_001569.4,LS,5827
chrX,-,153279492,153284779,NM_001569.4,LS,5287
chrX,-,153277979,153284238,NM_001569.4,LS,6259
chr17,+,76399648,76415756,NM_024419.5,LS,16108
chr5,-,34169131,34218555,NR_146599.1,LS,49424
chr3,-,50331062,50333050,NM_003549.4,LS,1988
chr19,+,37715719,37721364,NM_001387597.1,LS,5645
chrX,-,21761867,21772420,NR_045617.2,LS,10553
chr11,+,61533096,61548801,NM_013279.4,LS,15705
chr14,-,23417076,23420898,NM_001166269.2,LS,3822
chr8,-,124250037,124251384,NM_001204180.2,LS,1347
chr8,-,124243539,124250181,NM_001204180.2,LS,6642
chr1,-,1289409,1290532,NM_001282583.2,LS,1123
chr22,+,21056873,21057980,NR_026815.1,LS,1107
chr1,+,84991378,85014647,NM_001397487.1,LS,23269
chr1,+,84991527,84998657,NM_001397487.1,LS,7130
chr1,+,85009884,85014647,NM_001397487.1,LS,4763
chr1,+,84988072,85014647,NM_001397487.1,LS,26575
chr1,+,84986267,85009987,NM_001397487.1,LS,23720
chr10,-,46343307,46344360,NM_001393378.1,LS,1053
chr12,-,56184350,56194684,NR_026723.2,LS,10334
chr12,-,56184350,56194413,NR_026723.2,LS,10063
chr11,+,65649645,65650604,NM_001335.4,LS,959
chr3,+,37458743,37459240,NR_126512.1,LS,497
chr17,+,29850910,29857487,NM_032932.6,LS,6577
chr17,+,29855637,29857487,NM_032932.6,LS,1850
chr17,+,29849377,29855796,NM_032932.6,LS,6419
chr17,+,29761051,29850629,NM_032932.6,LS,89578
chr2,-,24302313,24306022,NM_004881.5,LS,3709
chr12,+,6965180,6970270,NR_168458.1,LS,5090
chr12,+,6969529,6970781,NR_168458.1,LS,1252
chr12,+,6968633,6969655,NR_168458.1,LS,1022
chr12,+,6965180,6973359,NR_168458.1,LS,8179
chr11,-,72295915,72307692,NM_002599.5,LS,11777
chr6,+,37252111,37284982,NR_130108.2,LS,32871
chr9,+,140611077,140671296,NM_024757.5,LS,60219
chr9,+,140676742,140711977,NM_024757.5,LS,35235
chr1,+,109238664,109238959,NM_001349769.2,LS,295
chr16,-,28399378,28411319,NM_001317856.1,LS,11941
chr16,-,28403072,28412305,NM_001317856.1,LS,9233
chrX,+,10047764,10096748,NM_015691.5,LS,48984
chr19,+,36243987,36245220,NM_001369780.1,LS,1233
chr19,+,36243334,36245058,NM_001369780.1,LS,1724
chr19,+,36243334,36243734,NM_001369780.1,LS,400
chr14,-,24737075,24737404,NM_004581.5,LS,329
chr14,-,24737574,24740153,NM_004581.5,LS,2579
chr14,-,24737075,24739664,NM_004581.5,LS,2589
chr12,-,76844630,76930821,NM_001319652.2,LS,86191
chr12,-,76928013,76930821,NM_001319652.2,LS,2808
chr12,-,76881289,76930821,NM_001319652.2,LS,49532
chr12,-,76881289,76928061,NM_001319652.2,LS,46772
chr4,+,56734501,56737071,NM_001024924.2,LS,2570
chr16,+,68847215,68856128,NM_001317185.2,LS,8913
chr1,+,95614257,95615822,NM_001199679.2,LS,1565
chr1,+,95616880,95639445,NM_001199679.2,LS,22565
chr1,+,95615763,95616975,NM_001199679.2,LS,1212
chr1,+,95615763,95639445,NM_001199679.2,LS,23682
chr19,+,37180298,37203414,NM_001387762.1,LS,23116
chr19,+,37185703,37203414,NM_001387762.1,LS,17711
chr19,+,37177638,37203414,NM_001387762.1,LS,25776
chr10,+,22607033,22607235,NM_001204062.2,LS,202
chr2,+,171633886,171634190,NM_001290030.2,LS,304
chr2,+,171633656,171634190,NM_001290030.2,LS,534
chr18,+,7949178,8371808,NM_001378147.1,LS,422630
chr18,+,8122239,8371004,NM_001378147.1,LS,248765
chr18,+,7949178,8114825,NM_001378147.1,LS,165647
chr18,+,7949178,8371004,NM_001378147.1,LS,421826
chr10,+,135024925,135033616,NM_152643.8,LS,8691
chr10,+,134996847,135027231,NM_152643.8,LS,30384
chr10,+,135012081,135025362,NM_152643.8,LS,13281
chr1,+,151138946,151139694,NM_001204856.2,LS,748
chr1,+,151139596,151140814,NM_001204856.2,LS,1218
chr1,+,151139596,151139890,NM_001204856.2,LS,294
chr12,-,10999643,11035297,NR_037918.2,LS,35654
chr12,-,11000970,11036874,NR_037918.2,LS,35904
chr12,-,11000970,11035297,NR_037918.2,LS,34327
chr12,-,11035659,11036874,NR_037918.2,LS,1215
chr20,-,3209991,3218234,NM_001174090.2,LS,8243
chr15,-,52611256,52656899,NM_001382348.1,LS,45643
chr15,-,52606319,52671930,NM_001382348.1,LS,65611
chr15,-,52676357,52720766,NM_001382348.1,LS,44409
chr8,+,21827654,21829452,NR_156173.2,LS,1798
chr8,+,21839241,21847918,NR_156173.2,LS,8677
chr8,+,21824367,21846594,NR_156173.2,LS,22227
chr8,+,21857046,21859783,NR_156173.2,LS,2737
chr8,+,21833866,21843202,NR_156173.2,LS,9336
chr8,+,21827654,21846344,NR_156173.2,LS,18690
chr8,+,21849378,21851962,NR_156173.2,LS,2584
chr8,+,21847854,21859783,NR_156173.2,LS,11929
chr8,+,21844651,21846344,NR_156173.2,LS,1693
chr8,+,21824367,21853110,NR_156173.2,LS,28743
chr8,+,21835280,21860828,NR_156173.2,LS,25548
chr8,+,21840150,21856348,NR_156173.2,LS,16198
chr8,+,21848321,21857185,NR_156173.2,LS,8864
chr8,+,21843096,21861541,NR_156173.2,LS,18445
chr8,+,21846233,21861541,NR_156173.2,LS,15308
chr8,+,21840150,21845368,NR_156173.2,LS,5218
chr8,+,21839241,21856816,NR_156173.2,LS,17575
chr8,+,21833866,21856816,NR_156173.2,LS,22950
chr8,+,21856601,21859783,NR_156173.2,LS,3182
chr14,-,65415385,65418381,NM_001330182.2,LS,2996
chrX,-,84349921,84398024,NM_001367858.2,LS,48103
chr7,+,18535884,18669104,NM_178425.4,LS,133220
chr7,+,18535884,18633652,NM_178425.4,LS,97768
chr7,+,18535884,18625145,NM_178425.4,LS,89261
chrX,-,48752634,48755104,NM_001167947.2,LS,2470
chrX,-,48752320,48752784,NM_001167947.2,LS,464
chr14,+,53224036,53224500,NM_145251.4,LS,464
chr3,-,120122088,120123818,NM_007085.5,LS,1730
chr2,+,223339286,223386665,NM_001320833.2,LS,47379
chr1,-,71532458,71536679,NM_005455.5,LS,4221
chr1,-,71534958,71536679,NM_005455.5,LS,1721
chr16,-,15133825,15141407,NM_173474.4,LS,7582
chr16,-,15135479,15141407,NM_173474.4,LS,5928
chr16,-,15133825,15134978,NM_173474.4,LS,1153
chr16,-,15134924,15135533,NM_173474.4,LS,609
chr19,-,3547269,3548028,NM_174983.5,LS,759
chr8,-,141679825,141696793,NM_001352698.2,LS,16968
chr8,-,141679825,141685598,NM_001352698.2,LS,5773
chr8,-,141679825,141900868,NM_001352698.2,LS,221043
chr8,-,141684396,141685598,NM_001352698.2,LS,1202
chr8,-,141710989,141900868,NM_001352698.2,LS,189879
chr8,-,141684396,141900868,NM_001352698.2,LS,216472
chr7,+,104703797,104747669,NM_182931.3,LS,43872
chr18,-,33610953,33613800,NM_001303411.2,LS,2847
chr18,-,33607146,33611060,NM_001303411.2,LS,3914
chr18,-,33613670,33620828,NM_001303411.2,LS,7158
chr18,-,33607146,33610868,NM_001303411.2,LS,3722
chr11,-,71723940,71732337,NM_001286561.2,LS,8397
chr11,-,71732249,71735399,NM_001286561.2,LS,3150
chr19,+,4493978,4498373,NM_001348169.2,LS,4395
chr19,+,4491562,4499716,NM_001348169.2,LS,8154
chr16,-,87935517,87960551,NM_001367225.1,LS,25034
chr16,-,87936030,87960551,NM_001367225.1,LS,24521
chr22,+,41305125,41320486,NM_022098.4,LS,15361
chr22,+,41265002,41318517,NM_022098.4,LS,53515
chrX,+,109246728,109416681,NM_001353849.2,LS,169953
chr11,-,63531509,63532726,NM_001144936.2,LS,1217
chr17,-,8108533,8110685,NM_001313951.1,LS,2152
chr17,-,8109808,8110685,NM_001313951.1,LS,877
chr13,-,114531519,114541164,NM_000820.4,LS,9645
chr5,-,176866914,176871595,NR_038915.1,LS,4681
chr9,+,129143342,129243703,NM_033446.3,LS,100361
chr19,+,10362821,10369361,NM_146387.2,LS,6540
chr2,+,58275961,58285623,NM_001288836.1,LS,9662
chr11,-,27402186,27407015,NM_018490.5,LS,4829
chr11,-,27402441,27405954,NM_018490.5,LS,3513
chr2,+,216995597,217069119,NM_021141.4,LS,73522
chr2,+,216990639,217069119,NM_021141.4,LS,78480
chr2,+,216997047,217024884,NM_021141.4,LS,27837
chr2,+,216982468,217002902,NM_021141.4,LS,20434
chr2,+,217005908,217069119,NM_021141.4,LS,63211
chr8,+,57408781,57460917,NR_125813.1,LS,52136
chr2,+,173830289,173913382,NM_001375864.1,LS,83093
chr2,+,173825849,173885443,NM_001375864.1,LS,59594
chr2,+,173861193,173901420,NM_001375864.1,LS,40227
chr2,+,173850160,173881932,NM_001375864.1,LS,31772
chr2,+,173855537,173894982,NM_001375864.1,LS,39445
chr2,-,153568817,153574139,NM_001354432.4,LS,5322
chr16,-,11493557,11582723,NM_001370704.1,LS,89166
chr16,-,11493557,11608395,NM_001370704.1,LS,114838
chr16,-,11541789,11587652,NM_001370704.1,LS,45863
chr16,-,11478744,11511695,NM_001370704.1,LS,32951
chr16,-,11477498,11495262,NM_001370704.1,LS,17764
chr16,-,11517034,11534932,NM_001370704.1,LS,17898
chr16,-,11541789,11602711,NM_001370704.1,LS,60922
chr16,-,11505101,11581242,NM_001370704.1,LS,76141
chr16,-,11517964,11570802,NM_001370704.1,LS,52838
chr9,+,139722945,139732467,NM_001173988.2,LS,9522
chr9,+,139717976,139732114,NM_001173988.2,LS,14138
chr9,+,139731797,139733573,NM_001173988.2,LS,1776
chr9,+,139723844,139732114,NM_001173988.2,LS,8270
chr11,-,6636096,6637305,NM_000391.4,LS,1209
chr11,-,6640006,6640498,NM_000391.4,LS,492
chr11,-,6637891,6640146,NM_000391.4,LS,2255
chr2,+,25016720,25037362,NM_024322.4,LS,20642
chr18,-,22804308,22930911,NM_015461.3,LS,126603
chr9,+,137299994,137321086,NM_001291920.2,LS,21092
chr9,+,137299994,137323842,NM_001291920.2,LS,23848
chr9,+,137320953,137323842,NM_001291920.2,LS,2889
chr9,+,137300785,137321086,NM_001291920.2,LS,20301
chr9,+,137313521,137323842,NM_001291920.2,LS,10321
chr14,-,94374315,94384666,NR_027004.2,LS,10351
chr1,-,1191424,1192510,NM_194458.2,LS,1086
chr2,+,85649559,85663717,NR_172131.1,LS,14158
chr8,-,33246480,33311028,NM_032664.3,LS,64548
chr12,-,10313384,10319556,NM_002543.4,LS,6172
chr2,+,162175332,162224060,NM_005805.6,LS,48728
chr2,+,162172947,162224060,NM_005805.6,LS,51113
chr2,+,162175332,162242082,NM_005805.6,LS,66750
chr2,+,162247614,162251714,NM_005805.6,LS,4100
chr2,+,162172947,162265410,NM_005805.6,LS,92463
chr2,+,162175332,162224414,NM_005805.6,LS,49082
chr2,+,196573379,196578277,NM_020342.3,LS,4898
chr10,+,102107820,102116521,NM_005063.5,LS,8701
chr10,+,102107820,102112253,NM_005063.5,LS,4433
chr12,-,5684999,5721922,NM_001278597.3,LS,36923
chr12,-,5687120,6030532,NM_001278597.3,LS,343412
chr12,-,5860001,5939655,NM_001278597.3,LS,79654
chr12,-,5708649,5936986,NM_001278597.3,LS,228337
chr12,-,5916478,6031970,NM_001278597.3,LS,115492
chr12,-,5860001,5961125,NM_001278597.3,LS,101124
chr12,-,5853322,5936986,NM_001278597.3,LS,83664
chr12,-,5724351,5908737,NM_001278597.3,LS,184386
chr8,-,42044915,42048932,NM_000930.5,LS,4017
chr2,-,201724847,201726585,NM_001162407.1,LS,1738
chr3,-,8944063,9000685,NM_020165.4,LS,56622
chr1,-,150195511,150203028,NM_030920.5,LS,7517
chr9,+,69389938,69441117,NR_146419.1,LS,51179
chr9,+,69443026,69446722,NR_146419.1,LS,3696
chr9,+,69407158,69424125,NR_146419.1,LS,16967
chr9,+,69393821,69403204,NR_146419.1,LS,9383
chr9,+,69391091,69424125,NR_146419.1,LS,33034
chr2,-,219129742,219130669,NM_001302545.2,LS,927
chr19,-,52503598,52505534,NM_001199324.2,LS,1936
chr17,-,47388673,47395345,NR_135579.2,LS,6672
chr17,-,47388673,47390207,NR_135579.2,LS,1534
chr2,-,38973835,38975299,NM_001363802.1,LS,1464
chr2,-,38975720,38976847,NM_001363802.1,LS,1127
chr2,-,38975197,38977336,NM_001363802.1,LS,2139
chr11,+,68455481,68456394,NM_015973.5,LS,913
chr11,+,68453061,68455568,NM_015973.5,LS,2507
chr11,+,68453061,68456394,NM_015973.5,LS,3333
chr11,+,68452391,68455568,NM_015973.5,LS,3177
chr3,+,121822358,121836940,NM_006889.5,LS,14582
chr3,+,121822358,121825347,NM_006889.5,LS,2989
chr3,+,121828111,121836940,NM_006889.5,LS,8829
chr1,-,1324005,1326955,NR_146723.2,LS,2950
chr2,+,85605067,85614348,NR_138131.2,LS,9281
chr6,-,53152659,53160505,NM_001242828.2,LS,7846
chr3,-,71021161,71630848,NM_001244810.2,LS,609687
chr3,-,71026091,71630848,NM_001244810.2,LS,604757
chr10,-,64945322,64979743,NM_032776.3,LS,34421
chr17,+,2268190,2270699,NM_014853.3,LS,2509
chr17,+,2276624,2279555,NM_014853.3,LS,2931
chr17,+,2278785,2279555,NM_014853.3,LS,770
chr17,+,2268508,2279169,NM_014853.3,LS,10661
chr17,+,2266758,2268351,NM_014853.3,LS,1593
chr17,+,2266282,2270699,NM_014853.3,LS,4417
chr17,+,2275483,2280362,NM_014853.3,LS,4879
chr14,+,71787838,71884913,NM_015556.4,LS,97075
chr14,+,71787838,71880731,NM_015556.4,LS,92893
chr9,+,96859602,96866667,NM_177995.3,LS,7065
chr1,-,212141854,212156152,NR_037667.2,LS,14298
chr19,-,53391379,53397109,NM_001387570.1,LS,5730
chr1,-,33409619,33412165,NM_001127361.3,LS,2546
chr10,+,102749462,102750811,NR_160742.1,LS,1349
chr15,-,82443791,82554138,NR_136410.2,LS,110347
chr1,+,44137175,44169783,NM_014663.3,LS,32608
chr1,+,44156515,44157982,NM_014663.3,LS,1467
chr1,+,44134770,44169407,NM_014663.3,LS,34637
chr18,+,72352963,72589319,NM_001384475.1,LS,236356
chr18,+,72493383,72589319,NM_001384475.1,LS,95936
chr1,+,36282482,36319303,NR_146062.2,LS,36821
chr1,-,64576332,64576640,NR_110666.1,LS,308
chr2,+,119988195,120005782,NM_182915.3,LS,17587
chr2,+,119988195,120012424,NM_182915.3,LS,24229
chr2,+,120005254,120012424,NM_182915.3,LS,7170
chr1,+,169795233,169821077,NM_001366771.1,LS,25844
chr1,+,169796191,169821077,NM_001366771.1,LS,24886
chr6,+,76385150,76423541,NM_015571.4,LS,38391
chr6,+,76380268,76419346,NM_015571.4,LS,39078
chr6,+,76344422,76423297,NM_015571.4,LS,78875
chr14,-,105239791,105260598,NM_001382433.1,LS,20807
chr14,-,105241412,105243107,NM_001382433.1,LS,1695
chr14,-,105240248,105242136,NM_001382433.1,LS,1888
chr11,-,81811015,82061046,NR_120571.1,LS,250031
chr11,-,81811015,82067670,NR_120571.1,LS,256655
chr12,+,80615870,80747290,NM_001368062.3,LS,131420
chr12,+,80633112,80750300,NM_001368062.3,LS,117188
chr12,+,80712325,80750694,NM_001368062.3,LS,38369
chr14,-,45701935,45706924,NM_018353.5,LS,4989
chr11,-,65635980,65638129,NM_016938.5,LS,2149
chr1,+,203765420,203765729,NM_001376346.1,LS,309
chr12,+,126950259,126951273,NR_130748.1,LS,1014
chr12,+,126950259,126954431,NR_130748.1,LS,4172
chr8,-,27678081,27690650,NM_001278945.2,LS,12569
chr19,+,28391696,28393602,NR_146735.1,LS,1906
chr19,+,28391696,28409771,NR_146735.1,LS,18075
chr4,-,77087402,77089629,NM_005506.4,LS,2227
chr4,-,77096943,77097681,NM_005506.4,LS,738
chr17,-,26901084,26901595,NM_005165.3,LS,511
chr17,-,26901511,26902352,NM_005165.3,LS,841
chr17,-,26901713,26902024,NM_005165.3,LS,311
chr7,+,77052770,77053994,NR_110073.1,LS,1224
chr1,+,154402958,154407176,NM_001382769.1,LS,4218
chr17,-,40278772,40280818,NM_001252039.2,LS,2046
chr17,-,40280666,40283840,NM_001252039.2,LS,3174
chr13,-,110804680,110835444,NM_001845.6,LS,30764
chr13,-,110830410,110838900,NM_001845.6,LS,8490
chr13,-,110814576,110830278,NM_001845.6,LS,15702
chr10,+,73082512,73116006,NM_001174098.2,LS,33494
chr11,+,67017556,67020328,NM_012308.3,LS,2772
chrX,+,24830774,24839700,NM_001330360.2,LS,8926
chrX,+,24734478,24839700,NM_001330360.2,LS,105222
chr12,+,46230371,46231200,NM_152641.4,LS,829
chr4,-,40434667,40546523,NM_001098634.2,LS,111856
chr9,-,123583632,123594223,NM_005047.4,LS,10591
chr17,+,48540755,48551365,NM_001288968.2,LS,10610
chr17,+,48539544,48540913,NM_001288968.2,LS,1369
chr17,+,48548388,48549940,NM_001288968.2,LS,1552
chr2,+,233589283,233595944,NR_103493.2,LS,6661
chr2,+,233589283,233599948,NR_103493.2,LS,10665
chr2,+,233595831,233599948,NR_103493.2,LS,4117
chr8,+,22051570,22052432,NR_033403.2,LS,862
chr22,-,29725700,29750860,NM_001127.4,LS,25160
chr12,-,103762664,103872225,NM_001278419.3,LS,109561
chr3,+,17056199,17084441,NM_001144382.2,LS,28242
chr12,+,72338073,72372867,NM_173353.4,LS,34794
chr19,+,10738397,10748769,NM_001363611.2,LS,10372
chr19,+,10742301,10753697,NM_001363611.2,LS,11396
chr19,+,10741732,10745563,NM_001363611.2,LS,3831
chr19,+,10741950,10748991,NM_001363611.2,LS,7041
chr19,+,10741732,10745749,NM_001363611.2,LS,4017
chr19,+,10742719,10753697,NM_001363611.2,LS,10978
chr19,+,10741950,10747432,NM_001363611.2,LS,5482
chr9,+,135929214,135930351,NM_001122823.2,LS,1137
chr9,+,135929794,135930351,NM_001122823.2,LS,557
chr9,+,135927446,135931481,NM_001122823.2,LS,4035
chr9,+,135929214,135931481,NM_001122823.2,LS,2267
chr9,+,135927446,135930196,NM_001122823.2,LS,2750
chr9,+,135919114,135929875,NM_001122823.2,LS,10761
chr9,+,135919114,135926365,NM_001122823.2,LS,7251
chr13,-,63768622,63801201,NR_126409.1,LS,32579
chr4,+,1936870,1940259,NM_133334.2,LS,3389
chr4,+,1918597,1940259,NM_133334.2,LS,21662
chr4,+,1905942,1940259,NM_133334.2,LS,34317
chr4,+,1919867,1940259,NM_133334.2,LS,20392
chr4,+,1919867,1941505,NM_133334.2,LS,21638
chr3,-,49162685,49168875,NM_002292.4,LS,6190
chr3,-,49166452,49170096,NM_002292.4,LS,3644
chr3,-,49161827,49162358,NM_002292.4,LS,531
chr3,-,49159376,49162602,NM_002292.4,LS,3226
chr3,-,49158865,49159803,NM_002292.4,LS,938
chr3,-,49159376,49169838,NM_002292.4,LS,10462
chr3,-,49162685,49166585,NM_002292.4,LS,3900
chr3,-,49161160,49169838,NM_002292.4,LS,8678
chr3,-,49162438,49166018,NM_002292.4,LS,3580
chr3,-,49163797,49169622,NM_002292.4,LS,5825
chr3,-,49158865,49162917,NM_002292.4,LS,4052
chr3,-,49159376,49163323,NM_002292.4,LS,3947
chr3,-,49159595,49169156,NM_002292.4,LS,9561
chr3,-,49159595,49162045,NM_002292.4,LS,2450
chr3,-,49159376,49159803,NM_002292.4,LS,427
chr3,-,49163399,49168293,NM_002292.4,LS,4894
chr3,-,49162438,49166585,NM_002292.4,LS,4147
chr3,-,49159595,49161064,NM_002292.4,LS,1469
chr18,-,77703328,77711025,NM_025078.5,LS,7697
chr19,-,7543199,7547097,NM_080662.4,LS,3898
chr4,+,126329598,126336961,NM_001291303.3,LS,7363
chr4,+,126369615,126408761,NM_001291303.3,LS,39146
chr19,+,59057130,59061227,NM_005762.3,LS,4097
chr19,+,59060228,59061017,NM_005762.3,LS,789
chr19,+,59060106,59060607,NM_005762.3,LS,501
chr19,+,59059400,59061017,NM_005762.3,LS,1617
chr19,+,59057130,59059959,NM_005762.3,LS,2829
chr19,+,59059852,59061227,NM_005762.3,LS,1375
chr19,+,59059158,59061227,NM_005762.3,LS,2069
chr19,+,59059660,59060607,NM_005762.3,LS,947
chr19,+,59057130,59059080,NM_005762.3,LS,1950
chr19,+,59060106,59061651,NM_005762.3,LS,1545
chr7,+,18633530,18694492,NM_001321876.2,LS,60962
chr7,+,18633530,18688306,NM_001321876.2,LS,54776
chr1,+,200784688,200797733,NM_001297707.3,LS,13045
chr1,+,200801833,200821805,NM_001297707.3,LS,19972
chr1,+,200816337,200825253,NM_001297707.3,LS,8916
chr1,+,200784688,200821805,NM_001297707.3,LS,37117
chr1,+,200817159,200822623,NM_001297707.3,LS,5464
chr1,+,200816767,200824017,NM_001297707.3,LS,7250
chr17,-,39551496,39553247,NM_002277.3,LS,1751
chr12,+,56504747,56505093,NM_006191.3,LS,346
chr12,+,56500773,56503719,NM_006191.3,LS,2946
chr12,+,56501304,56505313,NM_006191.3,LS,4009
chr11,+,121035981,121058703,NM_001378761.1,LS,22722
chr11,+,120916382,120999053,NM_001378761.1,LS,82671
chr11,+,120918236,120983918,NM_001378761.1,LS,65682
chr11,+,120998460,121039634,NM_001378761.1,LS,41174
chr11,+,120918236,121008731,NM_001378761.1,LS,90495
chr11,+,121008129,121059876,NM_001378761.1,LS,51747
chr11,+,121058540,121060589,NM_001378761.1,LS,2049
chr22,-,29956722,29957191,NM_003634.4,LS,469
chr22,-,29957159,29965276,NM_003634.4,LS,8117
chr11,+,14840681,14889304,NM_001363570.2,LS,48623
chr17,-,39739486,39741309,NM_000526.5,LS,1823
chr17,-,39739345,39739928,NM_000526.5,LS,583
chr17,-,39739345,39740173,NM_000526.5,LS,828
chr17,-,39739802,39741309,NM_000526.5,LS,1507
chr17,-,39739486,39740173,NM_000526.5,LS,687
chr17,-,39739345,39739707,NM_000526.5,LS,362
chr17,-,39740011,39740665,NM_000526.5,LS,654
chr17,-,39739345,39740665,NM_000526.5,LS,1320
chr17,-,39739345,39741309,NM_000526.5,LS,1964
chr3,+,186334972,186336426,NM_001354571.2,LS,1454
chr3,+,186334231,186335139,NM_001354571.2,LS,908
chr3,+,186334231,186337729,NM_001354571.2,LS,3498
chr3,+,186333473,186337729,NM_001354571.2,LS,4256
chr3,+,186333473,186336426,NM_001354571.2,LS,2953
chr19,+,36250226,36256077,NM_001395452.1,LS,5851
chr6,+,84630800,84665181,NR_174605.1,LS,34381
chr6,+,84603240,84627784,NR_174605.1,LS,24544
chr6,+,84630800,84650320,NR_174605.1,LS,19520
chr6,+,84629115,84630894,NR_174605.1,LS,1779
chr6,+,84645942,84650320,NR_174605.1,LS,4378
chr6,+,84649774,84650320,NR_174605.1,LS,546
chr12,+,51445874,51447643,NR_147119.2,LS,1769
chr12,+,51445874,51450028,NR_147119.2,LS,4154
chr12,+,51447560,51450028,NR_147119.2,LS,2468
chr2,+,73474889,73477566,NM_001166285.2,LS,2677
chr12,-,46758171,46764640,NM_018976.5,LS,6469
chr12,-,46756803,46760728,NM_018976.5,LS,3925
chr12,-,46756803,46758485,NM_018976.5,LS,1682
chr12,-,46756276,46757786,NM_018976.5,LS,1510
chr12,-,46760858,46761123,NM_018976.5,LS,265
chr12,-,46756276,46760728,NM_018976.5,LS,4452
chr12,-,46756066,46758339,NM_018976.5,LS,2273
chr12,-,46758171,46760951,NM_018976.5,LS,2780
chr12,-,46756276,46758972,NM_018976.5,LS,2696
chr1,-,86203078,86512552,NR_146342.2,LS,309474
chr6,-,8041371,8097700,NR_037618.1,LS,56329
chr6,-,8041371,8090514,NR_037618.1,LS,49143
chr7,-,99708761,99711028,NM_001364998.1,LS,2267
chr5,+,146973922,146975103,NR_038902.1,LS,1181
chr20,-,46291813,46313325,NM_001387052.1,LS,21512
chr11,-,94699459,94703260,NM_001363371.2,LS,3801
chr3,-,182858325,182870291,NM_014398.4,LS,11966
chr12,-,76750405,76780440,NM_001319655.2,LS,30035
chr12,-,76778033,76796546,NM_001319655.2,LS,18513
chr5,+,152873487,153149975,NR_157093.2,LS,276488
chr2,-,37429926,37438225,NM_005760.3,LS,8299
chr7,-,157361593,157959983,NM_001308268.2,LS,598390
chr7,-,157930985,157959983,NM_001308268.2,LS,28998
chr7,-,157364131,157475629,NM_001308268.2,LS,111498
chr2,-,24509080,24516644,NM_001348184.2,LS,7564
chr2,-,24475213,24533561,NM_001348184.2,LS,58348
chr10,-,89550066,89574369,NM_001321969.2,LS,24303
